NumberOfResults
17
106
22
65
0
25282
0
77
19
330
700
15
22
59
4
4
35
26
28
4
2
16
14
3463
2
17
1139
10
1047
475
2216
4
89
303
26
90
72
189
99
286
7533
7
133
44
11
6
219
3
4
21
9
35
30
2565
0
0
21
971
16
2417
5
4
7888
28
208
3
2917
20
548
0
484
0
3
0
3
6
0
0
2497
729
92
2
0
3
3
4
0
0
2
0
5
19
0
7
0
7
9655
7
5
64
0
64
28
35
4
148
2
0
3
4
594
3147
49
112
257
7376
23084
658
19
2662
5812
134
517
324
8685
2035
36513
0
7837
1305
4622
1684
3094
2847
2552
1871
1981
1583
1334
68126
68126
68516
29809
2486
3790
1172
78907
9956
25430
118
184
0
158
5575
14
4
0
102
109
75
2980
1747
6993
5963
2177
102
467
102
99
98
356
171
0
292
33296
1653
3061
955
2175
0
280
0
47
110
323
82
2311
111
0
7
454
41
61
785
8
8
3400
151
9
101
677
317
72
3782
20
220
5
2
0
2440
0
2
0
0
0
3
808
21
2
3952
55
255
5
14
68
1824
36
8307
23
1070
1020604
83
2589
146
2188
12317
0
0
0
0
259
2
51
72
0
4
2477
4313
30
35
10
30
6753
340735
2251
116
124
0
0
259
183
1395
167
1201
730
2898
0
8338
8
6
5
2
7047
0
926
17
13314
0
972
3
0
3
32
10
2
2
2
0
923
5
162
8
713
2
1892
1968
121
23
2771
325
30
107
74
0
410
411
0
277369
21571
305
195
998
717
566
506
388
312
325
255
21571
0
16016
268
33904
5922
148
4021
1082
4379
0
10
1730
19
1188
2355
646
65
316
126
9
3822
10
2012
73
1856
2
1585
3
2507
1417
2
17
0
26
0
9
2407
20
285
1404
404
400
1400
0
0
217
0
0
21
837
20
64
3
1057
7
684
3484
10
21
7
5
0
0
80
0
10
3
0
0
1515
11
4
200
1711
4
217
56
27
5
6932
2
5
44
2
9827
10044
272
147
1886
57
111
0
700
40
10234
0
2224
41217
8
1664
0
1692
0
3551
434
5685
592
4
61
551
7
18140
767
0
287
4571
490
98
1940
59
3099
2030
3
61
3
375
593
254
3
0
153
26
23
2273
0
130
94
6
11
18
94
0
0
2
2325
0
285
65
30
30
25
50
3
0
5
35
96
0
0
0
16
4806
30
307
246
17720
29
7297
0
5
0
0
107262
8649
592
66
7
14
18
3
1571
125
61
91
35
82
1267
145
463
9
549
71
1169
98
93
186
70
52
185
651
2830
2
30
2
0
0
258
6767
9170
613
875
1331
98
3122
622
385
90
6
123
65
0
84
2
1013
185
6
8
6
18
14
13
3
637
68351
4213
0
31895
3
0
0
348
667
63
65
2363
8
4
18
1700
365
17
0
0
29
17
1036
9
114
106
105
284
2
8
204
160
124
120
2
7684
5
21
0
995
81
148
604
24
17
77
58
1886
32
2665
0
26
78
3
0
2
32
5389
12
13
2154
47
10
2477
8
10171
35
171
1479
1819
0
9803
23
2
27450
2640
0
0
0
92
50
90
3564
234
544
41
231
90
1534
91
88
39
12695
889
0
0
881
442
205
66
813
11
13469
151
2
0
97
32
9
5
62
71
56
238
69
49
34
6
121
3
17
7
11
21636
4046
879
2
2
4627
27813
25
0
12153
537
0
0
184
2
472
0
20
1049
258
4
294
878
2909
204
0
3
660
6
0
39
40
0
1904
1633
163
42
11
332
45
19
278
205822
8
245
0
17
3
904
21
9
59
0
0
6
3759
28
0
8320
5
2373
27
294
38
0
87
0
0
2
2
0
12
12
15
2
2
0
0
2
0
11
13
28
12
2
3
0
0
0
59
32
93
0
4
2
7
0
3
2
2
0
18861
331
81466
4968
1265
2
301
9
18
1164
42308
2001
12
273
41
2
10
6
